"Name","webname","first_name","last_name","job_title","job_title2","short_job_title","first_last_name","job_title_az"
"HANCOCK, Penelope A (Penny)","p.hancock","Penelope","HANCOCK","Lecturer in Biostatistics / Epidemiology (Non Clinical)",NA,"Dr","penelope hancock",NA
"BLANE, David","d.blane","David","BLANE","Emeritus Professor",NA,"Emeritus Professor","david blane",NA
"HALLETT, Timothy B","timothy.hallett","Timothy","HALLETT","Professor of Global Health",NA,"Professor","timothy hallett","Professor of Global Health"
"CAUCHEMEZ, Simon","s.cauchemez","Simon","CAUCHEMEZ","Visiting Reader",NA,"Dr","simon cauchemez","Visiting Reader"
"RIBOLI, Elio","e.riboli","Elio","RIBOLI","Chair in Cancer Epidemiology and Prevention",NA,"Professor","elio riboli",NA
"RUSHTON, Lesley","l.rushton","Lesley","RUSHTON","Emeritus Reader of Occupational Epidemiology",NA,"Dr","lesley rushton","Emeritus Reader of Occupational Epidemiology"
"DAVIES, Nicolette W","nicolette.davies","Nicolette","DAVIES",NA,NA,NA,"nicolette davies",NA
"TAGHAVI AZAR SHARABIANI, Mansour","mansour.taghavi-azar-sharabiani05","Mansour","TAGHAVI AZAR SHARABIANI",NA,NA,NA,"mansour taghavi azar sharabiani",NA
"TRUSCOTT, James E","j.truscott","James","TRUSCOTT","Honorary Senior Research Fellow",NA,"Dr","james truscott","Honorary Senior Research Fellow"
"BOILY, Marie-Claude","mc.boily","Marie-Claude","BOILY","Professor of Mathematical Epidemiology",NA,"Professor","marie-claude boily","Professor of Mathematical Epidemiology"
"FISHER, Matthew","matthew.fisher","Matthew","FISHER","Professor of Fungal Disease Epidemiology","Professor Matthew Fisher ",NA,"matthew fisher","Professor of Fungal Disease Epidemiology"
"HEARD, Andrew H (Andy)","a.heard","Andrew","HEARD","Database Manager",NA,"Mr","andrew heard",NA
"SAXENA, Sonia","s.saxena","Sonia","SAXENA","Professor of Primary Care",NA,"Professor","sonia saxena",NA
"BLANGIARDO, Marta A G","m.blangiardo","Marta","BLANGIARDO","Chair in Biostatistics",NA,"Professor","marta blangiardo","Chair in Biostatistics"
"MAINI, Arti","a.maini","Arti","MAINI","Director of Undergraduate Primary Care Education",NA,"Dr","arti maini","Director of Undergraduate Primary Care Education"
"WALLEY, Andrew J","a.walley","Andrew","WALLEY",NA,NA,NA,"andrew walley",NA
"DABY, Hridayanayaki I (Hima)","h.daby","Hridayanayaki","DABY","Data and Information Services Manager","Mrs Hridayanayaki Hima Daby",NA,"hridayanayaki daby",NA
"WHITE, Peter J","p.white","Peter","WHITE","Professor of Public Health Modelling",NA,"Professor","peter white","Professor of Public Health Modelling"
"KALUARACHCHI SODEN, Manuja R","manuja.kaluarachchi","Manuja","KALUARACHCHI SODEN",NA,NA,NA,"manuja kaluarachchi soden",NA
"GNANI, Shamini","s.gnani","Shamini","GNANI","Senior Clinical Teaching Fellow",NA,"Dr","shamini gnani","Senior Clinical Teaching Fellow"
"FENWICK, Alan","a.fenwick","Alan","FENWICK","Emeritus Professor","Professor Alan Fenwick OBE",NA,"alan fenwick",NA
"MURRAY-THOMAS, Tarita","t.murray-thomas","Tarita","MURRAY-THOMAS",NA,NA,NA,"tarita murray-thomas",NA
"FROGUEL, Philippe","p.froguel","Philippe","FROGUEL","Chair in Genomic Medicine",NA,"Professor","philippe froguel",NA
"WEBSTER, Joanne P","joanne.webster","Joanne","WEBSTER","Visiting Professor","Joanne P. Webster",NA,"joanne webster",NA
"UTHAYA, Sabita N","s.uthaya","Sabita","UTHAYA","Honorary Clinical Senior Lecturer","Dr Sabita Uthaya",NA,"sabita uthaya","Honorary Clinical Senior Lecturer"
"FECHT, Daniela","d.fecht","Daniela","FECHT","Senior Lecturer",NA,"Dr","daniela fecht","Senior Lecturer"
"SAMARASUNDERA, Edgar","e.samarasundera","Edgar","SAMARASUNDERA","Honorary Research Officer",NA,"Mr","edgar samarasundera","Honorary Research Officer"
"AANENSEN, David","d.aanensen","David","AANENSEN","Visiting Professor",NA,"Dr","david aanensen","Visiting Professor"
"ELIAHOO, Joseph","j.eliahoo","Joseph","ELIAHOO","Statistical Consultant",NA,"Mr","joseph eliahoo",NA
"OGUNDIPE, Enitan","e.ogundipe","Enitan","OGUNDIPE",NA,NA,NA,"enitan ogundipe","Honorary Clinical Senior Lecturer"
"DRAKE, Lesley","lesley.drake","Lesley","DRAKE","Exec Director - Partnership for Child Development",NA,"Dr","lesley drake","Exec Director - Partnership for Child Development"
"GRASSLY, Nicholas C","n.grassly","Nicholas","GRASSLY","Prof of Infectious Disease & Vaccine Epidemiology",NA,"Professor","nicholas grassly","Prof of Infectious Disease & Vaccine Epidemiology"
"BROWN, Ian J","ian.j.brown","Ian","BROWN",NA,NA,NA,"ian brown",NA
"CAR, Josip","josip.car","Josip","CAR","Reader in Primary Care and eHealth",NA,"Dr","josip car","Reader in Primary Care and eHealth"
"WILLIAMS, John R","jr.williams","John","WILLIAMS",NA,NA,NA,"john williams","Visiting Researcher"
"MILLER, Marie L E","m.miller","Marie","MILLER","Public Involvement Coordinator",NA,"Mrs","marie miller","Public Involvement Coordinator"
"HOLLINGSWORTH, Teresa D (Deirdre)","d.hollingsworth","Teresa","HOLLINGSWORTH","Honorary Lecturer","Professor Deirdre Hollingsworth",NA,"teresa hollingsworth",NA
"MAJEED, Farrukh A (Azeem)","a.majeed","Farrukh","MAJEED","Chair - Primary Care and Public Health & Head of Department","PROFESSOR AZEEM MAJEED",NA,"farrukh majeed",NA
"SASIKARAN, Thiagarajah","t.sasikaran","Thiagarajah","SASIKARAN","Deputy Operations Manager",NA,"Dr","thiagarajah sasikaran","Deputy Operations Manager"
"VINEIS, Paolo","p.vineis","Paolo","VINEIS","Chair in Environmental Epidemiology",NA,"Professor","paolo vineis","Chair in Environmental Epidemiology"
"GREGSON, Simon","s.gregson","Simon","GREGSON","Professor in Demography and Behavioural Science",NA,"Professor","simon gregson","Professor in Demography and Behavioural Science"
"RILEY, Steven","s.riley","Steven","RILEY","Professor of Infectious Disease Dynamics","Steven Riley",NA,"steven riley","Professor of Infectious Disease Dynamics"
"HANSELL, Anna L","a.hansell","Anna","HANSELL","Visiting Professor",NA,"Professor","anna hansell","Visiting Professor"
"BASANEZ, Maria-Gloria","m.basanez","Maria-Gloria","BASANEZ","Professor of Neglected Tropical Diseases",NA,"Professor","maria-gloria basanez","Professor of Neglected Tropical Diseases"
"BOTTLE, Robert A (Alex)","robert.bottle","Robert","BOTTLE","Professor of Medical Statistics","Alex Bottle",NA,"robert bottle",NA
"FRASER, Christophe","c.fraser","Christophe","FRASER","Visiting Professor",NA,"Professor","christophe fraser","Visiting Professor"
"DE WOLF, Frank","f.dewolf","Frank","DE WOLF","Chair in Clinical Retrovirology",NA,"Professor","frank de wolf",NA
"BLAIR, Mitchel E (Mitch)","m.blair","Mitchel","BLAIR","Professor of Paediatrics & Child Public Health","Professor Mitch Blair",NA,"mitchel blair",NA
"JARVELIN, Marjo-Riitta","m.jarvelin","Marjo-Riitta","JARVELIN","Chair in Lifecourse Epidemiology",NA,"Professor","marjo-riitta jarvelin","Chair in Lifecourse Epidemiology"
"TZALA, Evangelia","e.tzala","Evangelia","TZALA",NA,NA,NA,"evangelia tzala","Honorary Senior Research Fellow"
"TOLEDANO, Mireille B","m.toledano","Mireille","TOLEDANO","Mohn Chair; Population Child Health & Director-Mohn Centre","Professor Mireille B Toledano",NA,"mireille toledano","Mohn Chair; Population Child Health & Director-Mohn Centre"
"MODI, Neena","n.modi","Neena","MODI","Vice-Dean (International Activities) Faculty of Medicine",NA,"Professor","neena modi","Vice-Dean (International Activities) Faculty of Medicine"
"FERGUSON, Neil M","neil.ferguson","Neil","FERGUSON","Vice-Dean (Academic Development)","Professor Neil Ferguson",NA,"neil ferguson","Vice-Dean (Academic Development)"
"DONNELLY, Christl A","c.donnelly","Christl","DONNELLY","Visiting Professor","Professor Christl Donnelly CBE FMedSci FRS",NA,"christl donnelly",NA
"BALDING, David J","d.balding","David","BALDING",NA,NA,NA,"david balding",NA
"RICHARDSON, Sylvia","sylvia.richardson","Sylvia","RICHARDSON","Visiting Professor",NA,"Professor","sylvia richardson","Visiting Professor"
"CHAN, Queenie","q.chan","Queenie","CHAN","Honorary Senior Research Fellow",NA,"Dr","queenie chan","Honorary Senior Research Fellow"
"SPRATT, Brian G","b.spratt","Brian","SPRATT","Emeritus Professor","Professor Brian G Spratt FRS",NA,"brian spratt",NA
"CHAMBERS, John C","john.chambers","John","CHAMBERS","Professor of Cardiovascular Epidemiology",NA,"Professor","john chambers","Professor of Cardiovascular Epidemiology"
"COWAN, Frances M","f.cowan","Frances","COWAN",NA,NA,NA,"frances cowan","Honorary Senior Lecturer"
"JOFFE, Michael","m.joffe","Michael","JOFFE","Emeritus Reader",NA,"Dr","michael joffe","Emeritus Reader"
"ELLIOTT, Paul","p.elliott","Paul","ELLIOTT","Chair in Epidemiology and Public Health Medicine",NA,"Professor","paul elliott",NA
"WELLS, Jennifer A","j.a.wells","Jennifer","WELLS",NA,NA,NA,"jennifer wells","Personal Assistant to Head of Department"
"BENNETT, James E","umahx99","James","BENNETT","Statistical Manager",NA,"Dr","james bennett","Statistical Manager"
"DAY, Sophie","s.day","Sophie","DAY","Principal Research Fellow",NA,"Professor","sophie day","Principal Research Fellow"
"JARMAN, Brian","b.jarman","Brian","JARMAN","Emeritus Professor",NA,"Emeritus Professor","brian jarman",NA
"PETERS, Ruth","r.peters","Ruth","PETERS","Honorary Research Fellow",NA,"Dr","ruth peters","Honorary Research Fellow"
"AYLIN, Paul P","p.aylin","Paul","AYLIN","Professor of Epidemiology and Public Health",NA,"Professor","paul aylin","Professor of Epidemiology and Public Health"
"POULTER, Neil R","n.poulter","Neil","POULTER","Professor of Preventive Cardiovascular Medicine.","Professor Neil Poulter",NA,"neil poulter","Professor of Preventive Cardiovascular Medicine."
"DE ZULUETA, Paquita C","p.dezulueta","Paquita","DE ZULUETA",NA,NA,NA,"paquita de zulueta",NA
"MUIR, Elizabeth H","e.muir","Elizabeth","MUIR","Clinical Senior Lecturer",NA,"Dr","elizabeth muir","Clinical Senior Lecturer"
"WARD, Helen","h.ward","Helen","WARD","Professor of Public Health",NA,"Professor","helen ward","Professor of Public Health"
"ANDERSON, Roy M","roy.anderson","Roy","ANDERSON","Professor in Infectious Disease Epidemiology","Professor Sir Roy Anderson FRS, FMedSci",NA,"roy anderson",NA
"GILLON, Raanan","raanan.gillon","Raanan","GILLON","Emeritus Professor of Medical Ethics",NA,"Emeritus Professor","raanan gillon",NA
"STIMSON, Gerald V (Gerry)","g.stimson","Gerald","STIMSON",NA,NA,NA,"gerald stimson",NA
"O'HANLON, Simon J","simon.ohanlon","Simon","O'HANLON",NA,NA,NA,"simon o'hanlon",NA
"NEWSON, Roger B","r.newson","Roger","NEWSON","Honorary Research Associate",NA,"Dr","roger newson","Honorary Research Associate"
"BELL, Derek","d.bell","Derek","BELL","Emeritus Professor in Acute Medicine",NA,"Emeritus Professor","derek bell",NA
"CHURCHER, Thomas S","thomas.churcher","Thomas","CHURCHER","Professor of Infectious Disease Dynamics",NA,"Professor","thomas churcher","Professor of Infectious Disease Dynamics"
"HINSLEY, Westley R (Wes)","w.hinsley","Westley","HINSLEY","GIS/Database/HPTC Analyst Tech Support","DR WES HINSLEY",NA,"westley hinsley",NA
"CURCIN, Vasa","vasa.curcin","Vasa","CURCIN","Honorary Lecturer",NA,"Dr","vasa curcin","Honorary Lecturer"
"SMITH, Jennifer A","jennifer.smith","Jennifer","SMITH","Honorary Research Fellow",NA,"Dr","jennifer smith","Honorary Research Fellow"
"BLAKE, Isobel M","isobel.blake","Isobel","BLAKE","Lecturer",NA,"Dr","isobel blake","Lecturer"
"SMITH, Rachel B","rachel.smith05","Rachel","SMITH","Research Fellow in Population Child Health",NA,"Dr","rachel smith","Research Fellow in Population Child Health"
"NORAT, Teresa","t.norat","Teresa","NORAT","Academic Visitor",NA,"Dr","teresa norat","Academic Visitor"
"PICKLES, Michael R EH","m.pickles","Michael","PICKLES","Research Fellow",NA,"Dr","michael pickles","Research Fellow"
