"username","gender","deg","betweeness","job_cat_simplified","year"
"aa1016","female",3,16.2554908979909,"Student",2018
"aanjum1","female",2,0,"Student",2018
"acori","female",10,33.274762982116,"Senior Lecturer / Reader",2018
"adehghan","male",22,1755.39712875253,"Senior Lecturer / Reader",2018
"aelosta","male",0,0,"Other",2018
"aghani","female",7,1696.83731342846,"Professor",2018
"agheorgh","male",0,0,"Other",2018
"agshaw","male",0,0,"Research Fellow",2018
"ah1514","male",5,154.728233608497,"Student",2018
"aheath","female",0,0,"Lecturer",2018
"ahheard","male",2,0,"Other",2018
"ahirose","female",0,0,"Other",2018
"ajcross1","female",6,0,"Professor",2018
"ajm108","female",1,0,"Research Fellow",2018
"alaverty","male",9,537.16902881465,"Senior Lecturer / Reader",2018
"alazzari","male",0,0,"Research Fellow",2018
"alf14","female",0,0,"Senior Lecturer / Reader",2018
"amajeed","male",23,3570.28275489871,"Professor",2018
"amyridak","male",3,0,"Research Assistant / Associate",2018
"aoliete","female",1,0,"Research Assistant / Associate",2018
"arao","male",3,0,"Research Assistant / Associate",2018
"arocabar","female",0,0,"Research Assistant / Associate",2018
"arodgers","male",4,5.31349206349206,"Other",2018
"asn01","female",2,134.21156694183,"Other",2018
"atremper","female",2,0,"Research Fellow",2018
"avallejo","male",4,0,"Research Fellow",2018
"bamoah","male",0,0,"Research Assistant / Associate",2018
"bbarratt","male",4,31.6239659755449,"Senior Lecturer / Reader",2018
"bbodinie","female",3,0,"Research Assistant / Associate",2018
"bd406","female",1,0,"Senior Lecturer / Reader",2018
"bgalindo","female",0,0,"Research Assistant / Associate",2018
"bhayhoe","male",5,5.5,"Lecturer",2018
"bneal","male",3,0.25,"Professor",2018
"bz113","male",11,0,"Research Fellow",2018
"ca1411","female",0,0,"Other",2018
"casteven","male",8,542.980196121961,"Other",2018
"cgale","male",4,155.5,"Professor",2018
"ch1812","female",2,0,"Research Assistant / Associate",2018
"chadjich","male",2,3,"Research Assistant / Associate",2018
"clill","female",5,0,"Lecturer",2018
"cmillett","male",9,442.233297409668,"Professor",2018
"cnk20","female",1,0,"Research Assistant / Associate",2018
"cpm14","female",3,0,"Research Assistant / Associate",2018
"cshen2","male",0,0,"Research Assistant / Associate",2018
"cvrinten","female",0,0,"Other",2018
"cwbatter","female",3,4.5,"Senior Lecturer / Reader",2018
"dashby1","female",5,241.466666666667,"Professor",2018
"daune","male",11,550.540878087055,"Research Assistant / Associate",2018
"dbell","male",2,0,"Professor",2018
"dchan","female",4,0,"Research Fellow",2018
"dchapko","female",0,0,"Research Fellow",2018
"dcmuller","male",8,8.04445970695971,"Senior Lecturer / Reader",2018
"ddajnak","male",5,5.54444444444444,"Other",2018
"dfecht","female",9,291.487969673945,"Senior Lecturer / Reader",2018
"dgreen3","male",3,155,"Research Fellow",2018
"dhargrea","male",4,155,"Senior Lecturer / Reader",2018
"dhaw","male",0,0,"Research Assistant / Associate",2018
"dipgill","male",2,0,"Research Fellow",2018
"dlaydon","male",2,0,"Research Assistant / Associate",2018
"drawaf","male",8,109.743641860089,"Other",2018
"dsb09","female",0,0,"Other",2018
"dvuckovi","female",10,11.1505949745652,"Lecturer",2018
"ecl106","male",1,0,"Research Assistant / Associate",2018
"edubois","female",1,0,"Research Assistant / Associate",2018
"eevangel","male",13,99.0179668479669,"Senior Lecturer / Reader",2018
"efalasch","female",2,0,"Other",2018
"eg1012","female",1,0,"Student",2018
"egregg","male",0,0,"Professor",2018
"ejauneik","female",0,0,"Research Fellow",2018
"emogun","female",0,0,"Lecturer",2018
"epp11","male",1,0,"Other",2018
"eriboli","male",19,216.379612154023,"Professor",2018
"eribolis","female",1,0,"Other",2018
"esherrar","female",3,0,"Research Fellow",2018
"ev107","female",6,209.547673775681,"Senior Lecturer / Reader",2018
"evolz","male",2,4,"Senior Lecturer / Reader",2018
"fa1309","female",1,0,"Research Assistant / Associate",2018
"fcowan","female",0,0,"Lecturer",2018
"fergnm","male",13,990.010243124035,"Professor",2018
"ffilippi","male",7,401.017079349223,"Senior Lecturer / Reader",2018
"fkelly1","male",11,989.768807245387,"Professor",2018
"fpiel","male",8,57.7,"Senior Lecturer / Reader",2018
"ga1609","female",2,0,"Research Assistant / Associate",2018
"gantonac","female",1,0,"Research Assistant / Associate",2018
"gkonstan","male",0,0,"Research Fellow",2018
"gmarkoza","male",2,0,"Research Assistant / Associate",2018
"gnedjati","female",9,25.0076923076924,"Research Assistant / Associate",2018
"gvashitz","male",1,0,"Research Fellow",2018
"hlai","female",0,0,"Research Fellow",2018
"how30","female",2,1,"Professor",2018
"hrb08","female",11,0,"Research Assistant / Associate",2018
"hsanikin","female",1,0,"Research Assistant / Associate",2018
"ht1212","female",2,0,"Other",2018
"ht306","male",1,0,"Lecturer",2018
"htaddese","male",1,0,"Other",2018
"htopazia","female",0,0,"Research Assistant / Associate",2018
"hwalton","female",4,0,"Senior Lecturer / Reader",2018
"hwatt","female",6,155,"Other",2018
"idorigat","female",12,98.4950815524344,"Senior Lecturer / Reader",2018
"imaikore","male",0,0,"Research Assistant / Associate",2018
"imb02","female",10,285.24126984127,"Lecturer",2018
"imudway","male",1,0,"Senior Lecturer / Reader",2018
"it409","female",1,0,"Student",2018
"itzoulak","female",14,170.558568149743,"Professor",2018
"jakello","female",0,0,"Research Assistant / Associate",2018
"jaw32","female",29,692.133749104082,"Other",2018
"jbruton","female",1,0,"Other",2018
"jc5","male",15,1106.22762813439,"Senior Lecturer / Reader",2018
"jcchambe","male",13,62.6459551902156,"Professor",2018
"jeliahoo","male",0,0,"Other",2018
"jrwillia","male",0,0,"Other",2018
"js6509","male",0,0,"Other",2018
"jsobieck","male",4,0,"Research Assistant / Associate",2018
"jwe08","male",3,0,"Senior Lecturer / Reader",2018
"jwebbe","male",2,0,"Lecturer",2018
"kaglago","male",1,0,"Research Assistant / Associate",2018
"kbelesov","female",0,0,"Senior Lecturer / Reader",2018
"kd1613","female",0,0,"Research Assistant / Associate",2018
"kekoru","male",1,0,"Research Fellow",2018
"kfoley","female",2,0,"Research Assistant / Associate",2018
"kgaythor","female",5,0,"Research Fellow",2018
"khauck","female",1,0,"Professor",2018
"kkatsouy","female",0,0,"Professor",2018
"kkray","male",5,155,"Professor",2018
"kp10","male",0,0,"Research Fellow",2018
"kr1012","female",0,0,"Research Fellow",2018
"ktsilidi","male",8,98.6747369756392,"Senior Lecturer / Reader",2018
"labar","female",4,0,"Other",2018
"lbarron","male",1,0,"Senior Lecturer / Reader",2018
"lbrookes","female",2,0,"Other",2018
"lchindel","male",0,0,"Lecturer",2018
"lcooper1","female",0,0,"Research Assistant / Associate",2018
"ldewa","female",1,0,"Research Fellow",2018
"ldowney","female",1,0,"Other",2018
"lkw14","female",1,0,"Other",2018
"llennox","female",2,1,"Other",2018
"lmiddlet","male",0,0,"Professor",2018
"lokell","female",1,0,"Senior Lecturer / Reader",2018
"lr","female",5,1751.77988102046,"Senior Lecturer / Reader",2018
"magb","female",3,0,"Professor",2018
"manuja","female",1,0,"Other",2018
"mbagueli","male",0,0,"Senior Lecturer / Reader",2018
"mboily","female",4,9,"Professor",2018
"mbt30","female",8,95.3065835042152,"Professor",2018
"mcfisher","male",6,192.743041023304,"Professor",2018
"mchadeau","male",13,128.529898724464,"Professor",2018
"mcross","female",1,0,"Other",2018
"meb33","male",0,0,"Professor",2018
"mezzati","male",11,0,"Professor",2018
"mgbasa","female",3,204.626002506266,"Professor",2018
"mgunter","male",19,300.270088344499,"Professor",2018
"mharris1","male",2,0,"Senior Lecturer / Reader",2018
"mhurley","male",0,0,"Other",2018
"mimead","male",0,0,"Other",2018
"mjk108","female",1,0,"Research Assistant / Associate",2018
"mkivipel","female",0,0,"Other",2018
"mmpeden","female",0,0,"Research Fellow",2018
"mpickles","male",0,0,"Research Fellow",2018
"mponssal","female",2,0,"Research Fellow",2018
"mrj30","female",10,11.1505949745652,"Professor",2018
"ms3416","female",4,0,"Research Assistant / Associate",2018
"msandhu","male",1,0,"Other",2018
"mt4511","female",4,0,"Other",2018
"mt5605","male",0,0,"Other",2018
"mweldegi","male",1,0,"Research Assistant / Associate",2018
"mwoodwar","male",19,2121.07164018542,"Professor",2018
